code,insurance_company,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99308,RETIRED RAILROAD MEDICARE,10,10,1.0,1400.0,140.0
99310,RETIRED RAILROAD MEDICARE,8,8,1.0,2160.0,270.0
99305,RETIRED RAILROAD MEDICARE,2,2,1.0,520.0,260.0
99349,RETIRED RAILROAD MEDICARE,1,1,1.0,255.0,255.0
99306,RETIRED RAILROAD MEDICARE,1,1,1.0,330.0,330.0
99497,RETIRED RAILROAD MEDICARE,1,1,1.0,165.0,165.0
99350,RETIRED RAILROAD MEDICARE,1,1,1.0,355.0,355.0
99309,SAMBA,4,4,1.0,740.0,185.0
99308,SAMBA,2,2,1.0,280.0,140.0
99306,SAMBA,1,1,1.0,330.0,330.0
99310,SAMBA,1,1,1.0,270.0,270.0
99309,SEAFARERS & HEALTH BENEFITS PLAN,6,6,1.0,1110.0,185.0
99308,SEAFARERS & HEALTH BENEFITS PLAN,1,1,1.0,140.0,140.0
99310,SEAFARERS & HEALTH BENEFITS PLAN,1,1,1.0,270.0,270.0
99309,SENTARA HEALTH MANAGEMENT,276,276,1.0,51060.0,185.0
99308,SENTARA HEALTH MANAGEMENT,132,132,1.0,18480.0,140.0
99310,SENTARA HEALTH MANAGEMENT,25,25,1.0,6750.0,270.0
99306,SENTARA HEALTH MANAGEMENT,19,19,1.0,6270.0,330.0
99305,SENTARA HEALTH MANAGEMENT,5,5,1.0,1300.0,260.0
99315,SENTARA HEALTH MANAGEMENT,2,2,1.0,290.0,145.0
99316,SENTARA HEALTH MANAGEMENT,2,2,1.0,420.0,210.0
99307,SENTARA HEALTH MANAGEMENT,1,1,1.0,90.0,90.0
99497,SENTARA HEALTH MANAGEMENT,1,1,1.0,165.0,165.0
99350,SENTARA HEALTH MANAGEMENT,1,1,1.0,355.0,355.0
99309,SILAC INSURANCE,21,21,1.0,3885.0,185.0
99308,SILAC INSURANCE,5,5,1.0,700.0,140.0
99310,SILAC INSURANCE,1,1,1.0,270.0,270.0
99306,SILAC INSURANCE,1,1,1.0,330.0,330.0
99309,SOUTH CAROLINA BLUE SHIELD,1,1,1.0,185.0,185.0
99309,STANDARD LIFE AND ACCIDENT INS CO-SECONDARY CLAIMS,14,14,1.0,2590.0,185.0
99310,STANDARD LIFE AND ACCIDENT INS CO-SECONDARY CLAIMS,1,1,1.0,270.0,270.0
99308,STANDARD LIFE AND ACCIDENT INS CO-SECONDARY CLAIMS,1,1,1.0,140.0,140.0
99309,TENNCARE SELECT,5,5,1.0,925.0,185.0
99308,TENNCARE SELECT,1,1,1.0,140.0,140.0
99310,TENNCARE SELECT,1,1,1.0,270.0,270.0
99350,TENNESSEE BLUE SHIELD,1,1,1.0,355.0,355.0
99309,TRANSAMERICA LIFE INSURANCE COMPANY W PLANO PRKWY,11,11,1.0,2035.0,185.0
99306,TRANSAMERICA LIFE INSURANCE COMPANY W PLANO PRKWY,1,1,1.0,330.0,330.0
99308,TRANSAMERICA LIFE INSURANCE COMPANY W PLANO PRKWY,1,1,1.0,140.0,140.0
99309,TRICARE EAST (DOS 1/1/2025 and after),16,16,1.0,2960.0,185.0
99308,TRICARE EAST (DOS 1/1/2025 and after),5,5,1.0,700.0,140.0
99310,TRICARE EAST (DOS 1/1/2025 and after),1,1,1.0,270.0,270.0
99306,TRICARE EAST (DOS 1/1/2025 and after),1,1,1.0,330.0,330.0
99305,TRICARE EAST (DOS 1/1/2025 and after),1,1,1.0,260.0,260.0
99309,TRICARE FOR LIFE,190,190,1.0,35150.0,185.0
99308,TRICARE FOR LIFE,58,58,1.0,8120.0,140.0
99310,TRICARE FOR LIFE,30,30,1.0,8100.0,270.0
99306,TRICARE FOR LIFE,9,9,1.0,2970.0,330.0
99350,TRICARE FOR LIFE,6,6,1.0,2130.0,355.0
99497,TRICARE FOR LIFE,5,5,1.0,825.0,165.0
G8510,TRICARE FOR LIFE,3,3,1.0,0.03,0.01
90471,TRICARE FOR LIFE,3,3,1.0,105.0,35.0
99349,TRICARE FOR LIFE,3,3,1.0,765.0,255.0
99316,TRICARE FOR LIFE,3,3,1.0,630.0,210.0
99348,TRICARE FOR LIFE,2,2,1.0,340.0,170.0
99305,TRICARE FOR LIFE,2,2,1.0,520.0,260.0
99309,TRICARE - WEST REGION,2,2,1.0,370.0,185.0
99308,TRICARE - WEST REGION,1,1,1.0,140.0,140.0
99309,TRILLIUM COMMUNITY HEALTH PLAN,4,4,1.0,740.0,185.0
99309,TRILLIUM HEALTH RESOURCES,1,1,1.0,185.0,185.0
99310,UB-BANKERS LIFE AND CASUALTY,1,1,1.0,270.0,270.0
99308,UB-BANKERS LIFE AND CASUALTY,1,1,1.0,140.0,140.0
99306,UB-BANKERS LIFE AND CASUALTY,1,1,1.0,330.0,330.0
99309,UMR FKA UMR WAUSAU,11,11,1.0,2035.0,185.0
99308,UMR FKA UMR WAUSAU,5,5,1.0,700.0,140.0
99306,UMR FKA UMR WAUSAU,1,1,1.0,330.0,330.0
99310,UMR FKA UMR WAUSAU,1,1,1.0,270.0,270.0
99309,UMWA HEALTH AND RETIREMENT FUNDS,8,8,1.0,1480.0,185.0
99308,UMWA HEALTH AND RETIREMENT FUNDS,4,4,1.0,560.0,140.0
99349,UMWA HEALTH AND RETIREMENT FUNDS,1,1,1.0,255.0,255.0
99350,UMWA HEALTH AND RETIREMENT FUNDS,1,1,1.0,355.0,355.0
99309,UNIFIED LIFE INSURANCE COMPANY,2,2,1.0,370.0,185.0
99308,UNIFIED LIFE INSURANCE COMPANY,1,1,1.0,140.0,140.0
99309,UNITED AMERICAN INSURANCE COMPANY,8,8,1.0,1480.0,185.0
99308,UNITED AMERICAN INSURANCE COMPANY,7,7,1.0,980.0,140.0
99309,UNITEDHEALTHCARE,44,44,1.0,8140.0,185.0
99308,UNITEDHEALTHCARE,18,18,1.0,2520.0,140.0
99310,UNITEDHEALTHCARE,3,3,1.0,810.0,270.0
99305,UNITEDHEALTHCARE,1,1,1.0,260.0,260.0
99349,UNITEDHEALTHCARE,1,1,1.0,255.0,255.0
99350,UNITEDHEALTHCARE,1,1,1.0,355.0,355.0
99306,UNITEDHEALTHCARE,1,1,1.0,330.0,330.0
99309,UNITED HEALTHCARE,2494,2509,1.01,464165.0,186.11
99308,UNITED HEALTHCARE,883,884,1.0,123760.0,140.16
99310,UNITED HEALTHCARE,274,275,1.0,74250.0,270.99
99306,UNITED HEALTHCARE,138,138,1.0,45540.0,330.0
99305,UNITED HEALTHCARE,44,44,1.0,11440.0,260.0
99316,UNITED HEALTHCARE,34,34,1.0,7140.0,210.0
99497,UNITED HEALTHCARE,25,25,1.0,4125.0,165.0
99315,UNITED HEALTHCARE,18,18,1.0,2610.0,145.0
99307,UNITED HEALTHCARE,16,16,1.0,1440.0,90.0
99349,UNITED HEALTHCARE,12,12,1.0,3060.0,255.0
99350,UNITED HEALTHCARE,10,10,1.0,3550.0,355.0
99348,UNITED HEALTHCARE,4,4,1.0,680.0,170.0
11719,UNITED HEALTHCARE,1,1,1.0,30.0,30.0
G0317,UNITED HEALTHCARE,1,1,1.0,65.0,65.0
G8433,UNITED HEALTHCARE,1,1,1.0,0.01,0.01
G8510,UNITED HEALTHCARE,1,1,1.0,0.01,0.01
G8752,UNITED HEALTHCARE,1,1,1.0,0.01,0.01
99304,UNITED HEALTHCARE,1,1,1.0,180.0,180.0
90471,UNITED HEALTHCARE,1,1,1.0,35.0,35.0
69209,UNITED HEALTHCARE,1,1,1.0,30.0,30.0
G8754,UNITED HEALTHCARE,1,1,1.0,0.01,0.01
99309,UNITED HEALTHCARE COMMUNITY PLAN,570,570,1.0,105450.0,185.0
99308,UNITED HEALTHCARE COMMUNITY PLAN,257,257,1.0,35980.0,140.0
99310,UNITED HEALTHCARE COMMUNITY PLAN,35,36,1.03,9720.0,277.71
99306,UNITED HEALTHCARE COMMUNITY PLAN,21,21,1.0,6930.0,330.0
99305,UNITED HEALTHCARE COMMUNITY PLAN,18,18,1.0,4680.0,260.0
99316,UNITED HEALTHCARE COMMUNITY PLAN,7,7,1.0,1470.0,210.0
99497,UNITED HEALTHCARE COMMUNITY PLAN,4,4,1.0,660.0,165.0
99307,UNITED HEALTHCARE COMMUNITY PLAN,3,3,1.0,270.0,90.0
99315,UNITED HEALTHCARE COMMUNITY PLAN,1,1,1.0,145.0,145.0
G8754,UNITED HEALTHCARE COMMUNITY PLAN,1,1,1.0,0.01,0.01
99349,UNITED HEALTHCARE COMMUNITY PLAN,1,1,1.0,255.0,255.0
11719,UNITED HEALTHCARE COMMUNITY PLAN,1,1,1.0,30.0,30.0
G8752,UNITED HEALTHCARE COMMUNITY PLAN,1,1,1.0,0.01,0.01
99309,UNITEDHEALTHCARE MEDICARE COMPLETE,204,204,1.0,37740.0,185.0
99308,UNITEDHEALTHCARE MEDICARE COMPLETE,58,58,1.0,8120.0,140.0
99310,UNITEDHEALTHCARE MEDICARE COMPLETE,42,42,1.0,11340.0,270.0
99306,UNITEDHEALTHCARE MEDICARE COMPLETE,13,13,1.0,4290.0,330.0
99316,UNITEDHEALTHCARE MEDICARE COMPLETE,5,5,1.0,1050.0,210.0
99497,UNITEDHEALTHCARE MEDICARE COMPLETE,3,3,1.0,495.0,165.0
99315,UNITEDHEALTHCARE MEDICARE COMPLETE,3,3,1.0,435.0,145.0
99305,UNITEDHEALTHCARE MEDICARE COMPLETE,2,2,1.0,520.0,260.0
99406,UNITEDHEALTHCARE MEDICARE COMPLETE,2,2,1.0,70.0,35.0
90471,UNITEDHEALTHCARE MEDICARE COMPLETE,1,1,1.0,35.0,35.0
99304,UNITEDHEALTHCARE MEDICARE COMPLETE,1,1,1.0,180.0,180.0
99309,UNRECOGNIZED INSURANCE,6,6,1.0,1110.0,185.0
99316,UNRECOGNIZED INSURANCE,1,1,1.0,210.0,210.0
99309,VETERANS AFFAIRS COMMUNITY CARE NETWORK RGN 1 2 3,44,44,1.0,8140.0,185.0
99308,VETERANS AFFAIRS COMMUNITY CARE NETWORK RGN 1 2 3,18,18,1.0,2520.0,140.0
99306,VETERANS AFFAIRS COMMUNITY CARE NETWORK RGN 1 2 3,6,6,1.0,1980.0,330.0
99310,VETERANS AFFAIRS COMMUNITY CARE NETWORK RGN 1 2 3,5,5,1.0,1350.0,270.0
99316,VETERANS AFFAIRS COMMUNITY CARE NETWORK RGN 1 2 3,2,2,1.0,420.0,210.0
99305,VETERANS AFFAIRS COMMUNITY CARE NETWORK RGN 1 2 3,1,1,1.0,260.0,260.0
99309,VIRGINIA BLUE SHIELD,1354,1397,1.03,258445.0,190.88
99308,VIRGINIA BLUE SHIELD,570,572,1.0,80080.0,140.49
99306,VIRGINIA BLUE SHIELD,155,155,1.0,51150.0,330.0
99310,VIRGINIA BLUE SHIELD,118,120,1.02,32400.0,274.58
99305,VIRGINIA BLUE SHIELD,29,30,1.03,7800.0,268.97
99316,VIRGINIA BLUE SHIELD,22,22,1.0,4620.0,210.0
99497,VIRGINIA BLUE SHIELD,13,13,1.0,2145.0,165.0
99349,VIRGINIA BLUE SHIELD,12,12,1.0,3060.0,255.0
99315,VIRGINIA BLUE SHIELD,11,11,1.0,1595.0,145.0
99350,VIRGINIA BLUE SHIELD,6,6,1.0,2130.0,355.0
99348,VIRGINIA BLUE SHIELD,6,6,1.0,1020.0,170.0
G8752,VIRGINIA BLUE SHIELD,2,2,1.0,0.02,0.01
G8754,VIRGINIA BLUE SHIELD,2,2,1.0,0.02,0.01
99307,VIRGINIA BLUE SHIELD,2,2,1.0,180.0,90.0
G8510,VIRGINIA BLUE SHIELD,2,2,1.0,0.02,0.01
15853,VIRGINIA BLUE SHIELD,1,1,1.0,25.0,25.0
99309,VIRGINIA MEDICAID,499,499,1.0,92315.0,185.0
99308,VIRGINIA MEDICAID,232,232,1.0,32480.0,140.0
99310,VIRGINIA MEDICAID,45,45,1.0,12150.0,270.0
99306,VIRGINIA MEDICAID,31,31,1.0,10230.0,330.0
99305,VIRGINIA MEDICAID,16,16,1.0,4160.0,260.0
99307,VIRGINIA MEDICAID,4,4,1.0,360.0,90.0
99497,VIRGINIA MEDICAID,2,2,1.0,330.0,165.0
99315,VIRGINIA MEDICAID,2,2,1.0,290.0,145.0
99316,VIRGINIA MEDICAID,2,2,1.0,420.0,210.0
99304,VIRGINIA MEDICAID,1,1,1.0,180.0,180.0
G8752,VIRGINIA MEDICAID,1,1,1.0,0.01,0.01
G8754,VIRGINIA MEDICAID,1,1,1.0,0.01,0.01
99349,VIRGINIA MEDICAID,1,1,1.0,255.0,255.0
99309,VIRGINIA MEDICARE,3878,3879,1.0,717615.0,185.05
99308,VIRGINIA MEDICARE,1672,1672,1.0,234080.0,140.0
99310,VIRGINIA MEDICARE,347,347,1.0,93690.0,270.0
99306,VIRGINIA MEDICARE,252,252,1.0,83160.0,330.0
99305,VIRGINIA MEDICARE,97,97,1.0,25220.0,260.0
99349,VIRGINIA MEDICARE,93,93,1.0,23715.0,255.0
99316,VIRGINIA MEDICARE,70,70,1.0,14700.0,210.0
99350,VIRGINIA MEDICARE,53,53,1.0,18815.0,355.0
99315,VIRGINIA MEDICARE,45,45,1.0,6525.0,145.0
99348,VIRGINIA MEDICARE,39,39,1.0,6630.0,170.0
99497,VIRGINIA MEDICARE,34,34,1.0,5610.0,165.0
G8510,VIRGINIA MEDICARE,19,19,1.0,0.19,0.01
99307,VIRGINIA MEDICARE,12,12,1.0,1080.0,90.0
G8754,VIRGINIA MEDICARE,8,8,1.0,0.08,0.01
G8752,VIRGINIA MEDICARE,8,8,1.0,0.08,0.01
90471,VIRGINIA MEDICARE,6,6,1.0,210.0,35.0
G8433,VIRGINIA MEDICARE,2,2,1.0,0.02,0.01
3044F,VIRGINIA MEDICARE,2,2,1.0,0.02,0.01
G8755,VIRGINIA MEDICARE,1,1,1.0,0.01,0.01
G8753,VIRGINIA MEDICARE,1,1,1.0,0.01,0.01
G0444,VIRGINIA MEDICARE,1,1,1.0,35.0,35.0
G0127,VIRGINIA MEDICARE,1,1,1.0,50.0,50.0
11730,VIRGINIA MEDICARE,1,1,1.0,240.0,240.0
99304,VIRGINIA MEDICARE,1,1,1.0,180.0,180.0
99308,VIRGINIA PREMIER HEALTH PLANS,1,1,1.0,140.0,140.0
99309,WELLCARE HEALTH PLAN,17,17,1.0,3145.0,185.0
99308,WELLCARE HEALTH PLAN,5,5,1.0,700.0,140.0
99310,WELLCARE HEALTH PLAN,3,3,1.0,810.0,270.0
99306,WELLCARE HEALTH PLAN,2,2,1.0,660.0,330.0
99349,WELLMED,1,1,1.0,255.0,255.0
99348,WELLMED,1,1,1.0,170.0,170.0
99350,WELLMED,1,1,1.0,355.0,355.0
